tweet_id,retweet_count,fav_count
798686750113755136,2614,0
798682547630837760,5331,0
798673117451325440,6249,0
798665375516884993,4375,0
798644042770751489,2085,0
798628517273620480,2211,0
798585098161549313,6436,0
798576900688019456,6638,0
798340744599797760,3789,0
798209839306514432,2869,11318
797971864723324932,3538,12719
797545162159308800,5460,15841
797236660651966464,7460,21824
797165961484890113,31,249
796904159865868288,10042,0
796865951799083009,2138,8369
796759840936919040,3444,12948
796563435802726400,8240,0
796484825502875648,1981,8273
796387464403357696,4689,12029
796177847564038144,16124,0
796149749086875649,16124,35342
796125600683540480,2010,5400
796116448414461957,2724,9920
796080075804475393,2605,9227
796031486298386433,4157,11790
795464331001561088,26838,54407
795400264262053889,3230,11023
795076730285391872,6105,17722
794983741416415232,3806,0
794926597468000259,2609,11217
794355576146903043,11596,0
794332329137291264,2976,10437
794205286408003585,3738,10052
793962221541933056,5517,18394
793845145112371200,2112,10050
793614319594401792,3523,0
793601777308463104,1843,8704
793500921481273345,2685,11677
793286476301799424,10356,26901
793271401113350145,2655,9423
793256262322548741,9372,21802
793241302385262592,3699,11500
793226087023144960,3221,10731
793210959003287553,3167,9747
793195938047070209,6330,16681
793180763617361921,2234,7551
793165685325201412,3130,10258
793150605191548928,1924,6744
793135492858580992,2795,7045
793120401413079041,4387,13851
792913359805018113,4522,15668
792883833364439040,4811,12345
792773781206999040,1889,8024
792394556390137856,4829,14736
792050063153438720,2021,7840
791821351946420224,23661,0
791784077045166082,10894,0
791780927877898241,4273,0
791774931465953280,25015,49241
791672322847637504,3523,12825
791406955684368384,4630,14341
791312159183634433,2857,9591
791026214425268224,4650,0
790987426131050500,2404,10812
790946055508652032,5293,18130
790723298204217344,2611,0
790698755171364864,2142,8946
790581949425475584,8062,22577
790337589677002753,2102,8538
790277117346975746,3618,13710
790227638568808452,4027,0
789986466051088384,2611,10101
789960241177853952,4679,0
789903600034189313,4657,11359
789628658055020548,1999,8219
789599242079838210,2177,7400
789530877013393408,3806,12843
789314372632018944,2596,9402
789280767834746880,5578,0
789268448748703744,2914,9944
789137962068021249,3138,10600
788908386943430656,13951,29874
788765914992902144,11596,29951
788552643979468800,8136,0
788412144018661376,5963,17010
788178268662984705,2387,7891
788150585577050112,1462,6711
788070120937619456,3837,0
788039637453406209,1490,6705
787810552592695296,3432,9467
787717603741622272,3126,11135
787397959788929025,3187,11822
787322443945877504,1964,8508
787111942498508800,7538,0
786963064373534720,9006,28992
786729988674449408,2727,0
786709082849828864,6833,19844
786664955043049472,2885,11644
786595970293370880,3489,10262
786363235746385920,3943,11901
786286427768250368,3223,8701
786233965241827333,5380,16715
786051337297522688,174,1567
786036967502913536,7939,0
785927819176054784,3544,12396
785872687017132033,2056,7289
785639753186217984,2486,8521
785533386513321988,2264,9942
785515384317313025,1421,6648
785264754247995392,1846,7917
785170936622350336,5464,13191
784826020293709826,3614,11070
784517518371221505,2852,9784
784431430411685888,1438,6201
784183165795655680,9071,21934
784057939640352768,12545,32601
783839966405230592,12146,32774
783821107061198850,2209,8015
783695101801398276,3612,11368
783466772167098368,2531,9221
783391753726550016,6198,18408
783347506784731136,6305,0
783334639985389568,13162,31848
783085703974514689,2489,8864
782969140009107456,8257,26294
782747134529531904,1566,8120
782722598790725632,6041,18791
782598640137187329,2109,8476
782305867769217024,6240,18142
782021823840026624,7001,0
781955203444699136,3773,12079
781661882474196992,3040,11368
781655249211752448,1255,4363
781524693396357120,6205,22585
781308096455073793,2859,7767
781251288990355457,2357,9187
781163403222056960,3052,10627
780931614150983680,8240,23550
780858289093574656,2234,7819
780800785462489090,1456,6006
780601303617732608,3730,13158
780543529827336192,1947,6851
